,Категория,Название,Автор,ID,Превью,Изображение,Оценка,Цена,Цена (старая),В наличии,Описание,Число отзывов,Число оценок,ISBN,Издательство,Серия,Обложка,Формат,Количество страниц,Год издания,Язык,Раздел,Направление,Страна-производитель,"Вес, г",Возрастные ограничения,Жанр,Герои,Эпоха,Возраст,Иллюстратор,Тип,Вид бумаги,Материал,"Размер, см",Пол,Назначение,Тематика,Упаковка,Рисунок,Иллюстрации
0, Книги; Художественная литература; Фантастика и фэнтези,Летать или бояться,Стивен Кинг,529756,https://www.respublica.ru/items/389843/download_preview_pdf,https://www.respublica.ru/uploads/00/00/00/d0/c2/large_d7350631de1765a8.jpg,,320,480,True,"""Стивен Кинг — и это не секрет для миллионов фанатов его творчества — боится летать на самолетах. Но есть ли лучший способ бороться со своим страхом, чем встретиться с ним лицом к лицу? Что же вас ожидает в предстоящем полете? Встреча со злым гномом, загадочное убийство и, возможно, даже путешествие во времени. Вы испытаете те двенадцать секунд максимальной опасности, когда худшее, что может случиться высоко в воздухе, случается. А еще познакомитесь с клаустрофобией, трусостью, ужасом и проявлениями высшей храбрости. Итак, затяните ваши ремни безопасности потуже, потому что этот полет обещает быть крутым.""",,,978-5-17-114110-3,АСТ,Вселенная Стивена Кинга,Твердая,21 х 13,368,2019,Русский,Зарубежные,Мистика,Россия,,,,,,,,,,,,,,,,,
1, Книги; Художественная литература; Фантастика и фэнтези,Пост сдал,Стивен Кинг,529754,https://www.respublica.ru/items/389841/download_preview_pdf,https://www.respublica.ru/uploads/01/00/00/d0/c5/large_ae86f643bd5dde7a.jpg,,190,,True,"В больничной палате номер 217 пробудилось нечто ужасное. Нечто, скрывающееся внутри Брейди Хартсфилда, одержимого маньяка по прозвищу Мистер Мерседес. Хотя он по-прежнему не в состоянии говорить и двигаться, его сознание бодрствует. Но кто способен даже на мгновение предположить, что за потрясшей город серией таинственных смертей стоит беспомощный теперь преступник? Разве что коп в отставке Билл Ходжес, которому дважды доводилось иметь дело с Мистером Мерседесом. Наступает момент, когда он понимает: Зло, таящееся в глубинах сознания этого монстра, приняло совершенно особую форму. Как же остановить убийцу, вышедшего за грани возможного для обычного человека?..",,,978-5-17-119968-5,АСТ,Король на все времена,Мягкая,"11,5 х 18",480,2020,Русский,Зарубежные,Мистика,Россия,241,16+,,,,,,,,,,,,,,,
2, Книги; Художественная литература; Фантастика и фэнтези,Сияние,Стивен Кинг,528463,,https://www.respublica.ru/uploads/01/00/00/cx/qx/large_2abb6ab06bd634b9.jpg,,390,,False,"…Проходят годы, десятилетия, но потрясающая история писателя Джека Торранса, его сынишки Дэнни, наделенного необычным даром, и поединка с темными силами, обитающими в роскошном отеле ""Оверлук"", по-прежнему завораживает и держит в неослабевающем напряжении читателей самого разного возраста…",,,978-5-17-118184-0,АСТ,КИНО!!,Твердая,13 x 21,544,2019,Русский,Зарубежные,Мистика,Россия,400,0+,,,,,,,,,,,,,,,
3, Книги; Художественная литература; Фантастика и фэнтези,Буря столетия,Стивен Кинг,525197,https://www.respublica.ru/items/385161/download_preview_pdf,https://www.respublica.ru/uploads/00/00/00/cq/tk/large_b45d65f90259eee0.jpg,,200,,True,"На маленький дальний остров идет буря. Страшная буря, сметающая все на своем пути. И вместе с бурей приходит Зло - странный человек, который убивает по какому-то лишь ему известному плану. Человек, который обладает чудовищной властью. Человек, который не уйдет, пока не получит то, за чем явился...",,,978-5-17-118917-4,АСТ,Король на все времена,Мягкая,"11,5 х 18",416,2019,Русский,Зарубежные,Мистика,Россия,210,0+,,,,,,,,,,,,,,,
4, Книги; Художественная литература; Фантастика и фэнтези,Под Куполом. Шестое чувство,Стивен Кинг,521176,,https://www.respublica.ru/uploads/00/00/00/cg/1a/large_cff66a9f0f0340c5.jpg,,260,,False,"История маленького городка, который настигла большая беда. Однажды его, вместе со всеми обитателями, накрыло таинственным невидимым куполом, не позволяющим ни покинуть город, ни попасть туда извне. Что теперь будет в городке? Что произойдет с его жителями? Ведь когда над человеком не довлеет ни закон, ни страх наказания - слишком тонкая грань отделяет его от превращения в жестокого зверя. Кто переступит эту грань, а кто - нет?",,,978-5-17-116975-6,АСТ,Король на все времена,Мягкая,"11,5 х 18",768,2019,Русский,Мировые,Мистика,Россия,378,12+,,,,,,,,,,,,,,,
5, Книги; Художественная литература; Фантастика и фэнтези,Под Куполом. Падают розовые звезды,Стивен Кинг,521175,,https://www.respublica.ru/uploads/00/00/00/cg/1e/large_fe30c52b725fabd7.jpg,,210,,False,"История маленького городка, который настигла большая беда. Однажды его, вместе со всеми обитателями, накрыло таинственным невидимым куполом, не позволяющим ни покинуть город, ни попасть туда извне. Что теперь будет в городке? Что произойдет с его жителями? Ведь когда над человеком не довлеет ни закон, ни страх наказания - слишком тонкая грань отделяет его от превращения в жестокого зверя. Кто переступит эту грань, а кто - нет?",,,978-5-17-116973-2,АСТ,Король на все времена,Мягкая,"11,5 х 18",544,2019,Русский,Мировые,Мистика,Россия,265,12+,,,,,,,,,,,,,,,
6, Книги; Художественная литература; Фантастика и фэнтези,Болельщик,Стивен Кинг;Стюарт О`Нэн,518600,https://www.respublica.ru/items/378579/download_preview_pdf,https://www.respublica.ru/uploads/00/00/00/ca/3c/large_5d182a496c42e1e6.jpg,,480,,True,"Пожалуй, всем известно, что Стивен Кинг - мастер художественного слова, одаренный публицист и критик. Но многие ли знают, что он еще и страстный фанат бейсбольной команды ""Бостон ред сокс""? Команды, чьей победы в Мировой серии 2004 года ожидали миллионы американцев. На матчах разгорались страсти пожарче футбольных. И наконец ""Ред сокс"" победили - впервые за 86 лет! Перед вами - уникальная летопись двух Болельщиков - Стивена Кинга и его друга, знаменитого прозаика Стюарта О'Нэна, год следовавших за любимой командой и ставших свидетелями ее триумфа. Истории ""с места событий""... Остроумные замечания... И серьезные комментарии!",,,978-5-17-116214-6,АСТ,Темная башня,Твердая,"20,5 х 13,5",544,2019,Русский,Зарубежные,Фэнтези,Россия,445,,,,,,,,,,,,,,,,
7, Книги; Художественная литература; Фантастика и фэнтези,Чужак,Стивен Кинг,513925,https://www.respublica.ru/items/373815/download_preview_pdf,https://www.respublica.ru/uploads/00/00/00/bz/ca/large_1c84b5fe6ccdd1e1.jpg,5.0,640,,True,"В парке маленького городка Флинт-Сити найден труп жестоко убитого одиннадцатилетнего мальчика. Все улики, показания свидетелей указывают на одного человека — Терри Мейтленда. Тренер молодежной бейсбольной команды, преподаватель английского, муж и отец двух дочерей — неужели он был способен на такое?К тому же у Терри есть неопровержимое алиби: на момент совершения преступления он был в другом городе.Но как мог один и тот же человек оказаться в двух местах одновременно? Или в городе появилось НЕЧТО, способное принимать обличие любого человека?..Детектив полиции Флинт-Сити Ральф Андерсон и частный сыщик агентства ""Найдем и сохраним"" Холли Гибни намерены выяснить правду, чего бы им это ни стоило…",1,1,978-5-17-110170-1,АСТ,Темная башня,Твердая,"20 x 12,5",576,2019,Русский,Зарубежные,Мистика,Россия,460,12+,,,,,,,,,,,,,,,
8, Книги; Художественная литература; Фантастика и фэнтези,На подъеме,Стивен Кинг,510392,https://www.respublica.ru/items/370007/download_preview_pdf,https://www.respublica.ru/uploads/01/00/00/bf/rx/large_9821c94c7d9b5a71.jpg,,390,,True,"Касл-Рок — маленький городок в штате Мэн. Городок, с которым знаком каждый постоянный читатель Стивена Кинга. Впервые упомянув его в романе ""Мертвая зона"", Мастер продолжал знакомить нас с его жителями и рассказывать о необыкновенных событиях, происходящих в нем, в романах ""Куджо"", ""Темная половина"", ""Игра Джералда"", а также в повестях ""Рита Хейуорт и спасение из Шоушенка"", ""Несущий смерть"", ""Гвенди и ее шкатулка""… На этот раз Стивен Кинг приготовил еще одну интересную историю об обитателе Касл-Рока…Скотт Кэри — обычный американец с не совсем обычной проблемой: он стремительно теряет вес, однако внешне остается прежним. И неважно, взвешивается ли он в одежде, карманы которой набиты мелочью, или без нее — весы показывают одни и те же цифры.Помимо этого, Скотта беспокоит еще кое-что… Его новые соседи Дейдре Маккомб и Мисси Дональдсон. Точнее их собаки, обожающие портить его лужайку…Но время идет, и тайная болезнь Скотта прогрессирует с каждым днем. Не повод ли это что-то изменить? Именно поэтому, пока город готовится к ежегодному забегу в честь Дня благодарения, Скотт, несмотря на все разногласия, решает помочь своим соседкам стать частью Касл-Рока и наладить их взаимоотношения с жителями. Получится ли у него доказать, что у каждого человека, пусть даже холодного как лед, есть своя светлая сторона?..",,,978-5-17-112472-4,АСТ,Вселенная Стивена Кинга,Твердая,"16,5 x 12,5",192,2018,Русский,Зарубежные,Мистика,Россия,,,,,,,,,,,,,,,,,
9, Книги; Художественная литература; Фантастика и фэнтези,Блейз,Стивен Кинг,510391,https://www.respublica.ru/items/370006/download_preview_pdf,https://www.respublica.ru/uploads/01/00/00/bf/rh/large_30fd426bcbaa2d59.jpg,,180,,True,"После смерти знаменитого преступника Джорджа Рэкли его ученик Блейз решает в одиночку осуществить задуманный Рэкли план — похищение ребенка из семьи миллионеров.Теперь Блейз, держа маленького Джо в заложниках, скрывается в лесах штата Мэн... а полиция все ближе.И ""преступление века"" превращается в настоящую гонку со временем. В сборник также включен рассказ ""Память"", послуживший основой для романа ""Дьюма-Ки"".",,,978-5-17-113374-0,АСТ,Король на все времена(м),Мягкая,"18 x 11,5",352,2018,Русский,Зарубежные,Мистика,Россия,,,,,,,,,,,,,,,,,
